ID,category,average_cost
371,Camera & Photo Products,52.99
372,Camera & Photo Products,70.14
373,Camera & Photo Products,99.99
374,Camera & Photo Products,45.99
375,Camera & Photo Products,61.49
376,Camera & Photo Products,89.98
377,Camera & Photo Products,49.99
378,Camera & Photo Products,68.74
379,Camera & Photo Products,29.75
380,CDs & Vinyl,10.79
381,CDs & Vinyl,0.0
382,CDs & Vinyl,0.0
383,CDs & Vinyl,20.69
384,CDs & Vinyl,31.49
385,CDs & Vinyl,53.99
386,CDs & Vinyl,31.49
387,CDs & Vinyl,0.0
388,CDs & Vinyl,13.96
389,CDs & Vinyl,11.29
390,CDs & Vinyl,16.83
391,CDs & Vinyl,0.0
392,CDs & Vinyl,35.98
393,CDs & Vinyl,29.25
394,CDs & Vinyl,14.99
395,CDs & Vinyl,0.0
396,CDs & Vinyl,0.0
397,CDs & Vinyl,17.99
398,CDs & Vinyl,0.0
399,CDs & Vinyl,12.97
400,CDs & Vinyl,38.23
401,CDs & Vinyl,10.97
402,CDs & Vinyl,19.97
403,CDs & Vinyl,24.98
404,CDs & Vinyl,11.96
405,CDs & Vinyl,6.92
406,CDs & Vinyl,33.49
407,CDs & Vinyl,0.0
408,CDs & Vinyl,11.96
409,CDs & Vinyl,12.59
410,Cell Phones & Accessories,7.98
411,Cell Phones & Accessories,17.98
412,Cell Phones & Accessories,24.49
413,Cell Phones & Accessories,11.99
414,Cell Phones & Accessories,7.63
415,Cell Phones & Accessories,9.88
416,Cell Phones & Accessories,7.98
417,Cell Phones & Accessories,11.49
418,Cell Phones & Accessories,24.99
419,Cell Phones & Accessories,8.88
420,Cell Phones & Accessories,10.99
421,Cell Phones & Accessories,7.89
422,Cell Phones & Accessories,7.19
423,Cell Phones & Accessories,11.99
424,Cell Phones & Accessories,8.88
425,Cell Phones & Accessories,13.99
426,Cell Phones & Accessories,15.49
427,Cell Phones & Accessories,15.59
428,Cell Phones & Accessories,9.99
429,Cell Phones & Accessories,13.1
430,Cell Phones & Accessories,16.19
431,Cell Phones & Accessories,8.25
432,Cell Phones & Accessories,24.23
433,Cell Phones & Accessories,5.94
434,Cell Phones & Accessories,24.97
435,Cell Phones & Accessories,37.99
436,Cell Phones & Accessories,25.9
437,Cell Phones & Accessories,10.99
438,Cell Phones & Accessories,5.98
439,Cell Phones & Accessories,7.98
440,Cell Phones & Accessories,39.28
441,Cell Phones & Accessories,11.49
442,Cell Phones & Accessories,10.99
443,Cell Phones & Accessories,9.99
444,Cell Phones & Accessories,11.99
445,Cell Phones & Accessories,6.98
446,Cell Phones & Accessories,14.98
447,Cell Phones & Accessories,8.98
448,Cell Phones & Accessories,11.24
449,Cell Phones & Accessories,16.99
450,Cell Phones & Accessories,16.49
451,Cell Phones & Accessories,20.99
452,Cell Phones & Accessories,34.45
453,Cell Phones & Accessories,19.98
454,Cell Phones & Accessories,99.99
455,Cell Phones & Accessories,6.79
456,"Clothing, Shoes & Jewelry",63.39
